dict	scanSet	ref	image	caption
mw	mw-csldoc	01	mw010001.jpg	Title
mw	mw-csldoc	02	mw010009.jpg	Page v: Preface
mw	mw-csldoc	03	mw010010.jpg	Page vi
mw	mw-csldoc	04	mw010011.jpg	Page vii
mw	mw-csldoc	05	mw010012.jpg	Page viii
mw	mw-csldoc	06	mw010013.jpg	Page ix
mw	mw-csldoc	07	mw010014.jpg	Page x: Postscript
mw	mw-csldoc	08	mw010015.jpg	Page xi: Introduction Section I
mw	mw-csldoc	09	mw010016.jpg	Page xii
mw	mw-csldoc	10	mw010017.jpg	Page xiii
mw	mw-csldoc	11	mw010018.jpg	Page xiv: Section II
mw	mw-csldoc	12	mw010019.jpg	Page xv
mw	mw-csldoc	13	mw010020.jpg	Page xvi
mw	mw-csldoc	14	mw010021.jpg	Page xvii
mw	mw-csldoc	15	mw010022.jpg	Page xviii
mw	mw-csldoc	16	mw010023.jpg	Page xix
mw	mw-csldoc	17	mw010024.jpg	Page xx: Section III
mw	mw-csldoc	18	mw010025.jpg	Page xxi
mw	mw-csldoc	19	mw010026.jpg	Page xxii: Section IV
mw	mw-csldoc	20	mw010027.jpg	Page xxiii
mw	mw-csldoc	21	mw010028.jpg	Page xxiv
mw	mw-csldoc	22	mw010029.jpg	Page xxv
mw	mw-csldoc	23	mw010030.jpg	Page xxvi
mw	mw-csldoc	24	mw010031.jpg	Page xxvii
mw	mw-csldoc	25	mw010032.jpg	Page xxviii
mw	mw-csldoc	26	mw010034.jpg	Page xxix
mw	mw-csldoc	27	mw010033.jpg	Page xxx
mw	mw-csldoc	28	mw010035.jpg	Page xxxi
mw	mw-csldoc	29	mw010036.jpg	Page xxxii
skd	skd-csldoc	01	skd_Page_01_Image_0002.png	Title, vol. 1
skd	skd-csldoc	02	skd_Page_03_Image_0002.png	English Title
skd	skd-csldoc	03	skd_Page_05_Image_0002.png	Publisher’s Note
skd	skd-csldoc	04	skd_Page_07_Image_0002.png	1888 Title, vol. 1
skd	skd-csldoc	05	skd_Page_09_Image_0002.png	Preface, 1 (Sanskrit)
skd	skd-csldoc	06	skd_Page_10_Image_0002.png	Preface, 2
skd	skd-csldoc	07	skd_Page_11_Image_0002.png	Preface, 3
skd	skd-csldoc	08	skd_Page_12_Image_0002.png	Preface, 4
skd	skd-csldoc	09	skd_Page_13_Image_0002.png	Reviews, 1 (English)
skd	skd-csldoc	10	skd_Page_14_Image_0002.png	Reviews, 2
skd	skd-csldoc	11	skd_Page_15_Image_0002.png	Reviews, 3
skd	skd-csldoc	12	skd_Page_16_Image_0002.png	Reviews, 4
skd	skd-csldoc	13	skd_Page_17_Image_0002.png	Reviews, 5
skd	skd-csldoc	14	skd_Page_18_Image_0002.png	Reviews, 6
skd	skd-csldoc	15	skd_Page_19_Image_0002.png	Reviews, 7
skd	skd-csldoc	16	skd_Page_20_Image_0002.png	Reviews, 8
skd	skd-csldoc	17	skd_Page_21_Image_0002.png	Introduction, 1 (Sanskrit)
skd	skd-csldoc	18	skd_Page_22_Image_0002.png	Introduction, 2
skd	skd-csldoc	19	skd_Page_23_Image_0002.png	Introduction, 3
skd	skd-csldoc	20	skd_Page_24_Image_0002.png	Introduction, 4
skd	skd-csldoc	21	skd_Page_25_Image_0002.png	Introduction, 5
skd	skd-csldoc	22	skd_Page_26_Image_0002.png	Introduction, 6
skd	skd-csldoc	23	skd_Page_27_Image_0002.png	Introduction, 7
skd	skd-csldoc	24	skd_Page_28_Image_0002.png	Introduction, 8
skd	skd-csldoc	25	skd_Page_29_Image_0002.png	Introduction, 9
skd	skd-csldoc	26	skd_Page_30_Image_0002.png	Introduction, 10
skd	skd-csldoc	27	skd_Page_31_Image_0002.png	Introduction, 11
skd	skd-csldoc	28	skd_Page_32_Image_0002.png	Introduction, 12
skd	skd-csldoc	29	skd_Page_33_Image_0002.png	Introduction, 13
skd	skd-csldoc	30	skd_Page_34_Image_0002.png	Introduction, 14
mw	mw-scan-pdf	t01	mw010001.pdf	Title
mw	mw-scan-pdf	t02	mw010002.pdf	Copyright
mw	mw-scan-pdf	t03	mw010003.pdf	Page xxxvi, Dict. Order
mw	mw-scan-pdf	t04	mw010004.pdf	Page xxxv, Abbreviations
mw	mw-scan-pdf	t05	mw010005.pdf	Page xxxiii, Works
mw	mw-scan-pdf	t06	mw010006.pdf	Page xxxiv
mw	mw-scan-pdf	t07	mw010007.pdf	Title
mw	mw-scan-pdf	t08	mw010008.pdf	Publisher
mw	mw-scan-pdf	t09	mw010009.pdf	Page v, Preface
mw	mw-scan-pdf	t10	mw010010.pdf	Page vi
mw	mw-scan-pdf	t11	mw010011.pdf	Page vii
mw	mw-scan-pdf	t12	mw010012.pdf	Page viii
mw	mw-scan-pdf	t13	mw010013.pdf	Page ix
mw	mw-scan-pdf	t14	mw010014.pdf	Page x, Postscript
mw	mw-scan-pdf	t15	mw010015.pdf	Page xi, Introduction Section I
mw	mw-scan-pdf	t16	mw010016.pdf	Page xii
mw	mw-scan-pdf	t17	mw010017.pdf	Page xiii
mw	mw-scan-pdf	t18	mw010018.pdf	Page xiv, Section II
mw	mw-scan-pdf	t19	mw010019.pdf	Page xv
mw	mw-scan-pdf	t20	mw010020.pdf	Page xvi
mw	mw-scan-pdf	t21	mw010021.pdf	Page xvii
mw	mw-scan-pdf	t22	mw010022.pdf	Page xviii
mw	mw-scan-pdf	t23	mw010023.pdf	Page xix
mw	mw-scan-pdf	t24	mw010024.pdf	Page xx, Section III
mw	mw-scan-pdf	t25	mw010025.pdf	Page xxi
mw	mw-scan-pdf	t26	mw010026.pdf	Page xxii, Section IV
mw	mw-scan-pdf	t27	mw010027.pdf	Page xxiii
mw	mw-scan-pdf	t28	mw010028.pdf	Page xxiv
mw	mw-scan-pdf	t29	mw010029.pdf	Page xxv
mw	mw-scan-pdf	t30	mw010030.pdf	Page xxvi
mw	mw-scan-pdf	t31	mw010031.pdf	Page xxvii
mw	mw-scan-pdf	t32	mw010032.pdf	Page xxviii
mw	mw-scan-pdf	t33	mw010033.pdf	Page xxx
mw	mw-scan-pdf	t34	mw010034.pdf	Page xxix
mw	mw-scan-pdf	t35	mw010035.pdf	Page xxxi
mw	mw-scan-pdf	t36	mw010036.pdf	Page xxxii
mw	mw-scan-pdf	1308	mw1308-hvala.pdf	1308 hvala , Suppl.
mw	mw-scan-pdf	1309	mw1309.pdf	S1309 agṛhīta
mw	mw-scan-pdf	1310	mw1310.pdf	S1310 atisvinna
mw	mw-scan-pdf	1311	mw1311.pdf	S1311 anaka
mw	mw-scan-pdf	1312	mw1312.pdf	S1312 anunadi
mw	mw-scan-pdf	1313	mw1313.pdf	S1313 antara
mw	mw-scan-pdf	1314	mw1314.pdf	S1314 apamud
mw	mw-scan-pdf	1315	mw1315.pdf	S1315 abjala
mw	mw-scan-pdf	1316	mw1316.pdf	S1316 ambujinī
mw	mw-scan-pdf	1317	mw1317.pdf	S1317 avagraha
mw	mw-scan-pdf	1318	mw1318.pdf	S1318 aṣvaka
mw	mw-scan-pdf	1319	mw1319.pdf	S1319 ākiṃcanya
mw	mw-scan-pdf	1320	mw1320.pdf	S1320 āmredita-yamaka
mw	mw-scan-pdf	1321	mw1321.pdf	S1321 indrāṇī
mw	mw-scan-pdf	1322	mw1322.pdf	S1322 udgāla
mw	mw-scan-pdf	1323	mw1323.pdf	S1323 ṛtavya-vat
mw	mw-scan-pdf	1324	mw1324.pdf	S1324 kapilāhvaya
mw	mw-scan-pdf	1325	mw1325.pdf	S1325 kuṭvudī
mw	mw-scan-pdf	1326	mw1326.pdf	S1326 khaḍgaka
mw	mw-scan-pdf	1327	mw1327.pdf	S1327 catur
mw	mw-scan-pdf	1328	mw1328.pdf	S1328 jhaṭiti
